bedrooms,baths,area_sqft,kitchens,store_rooms,gym,furnishing_score,agePossession,has_servant_room,floor_category,price
5.0,7.0,5445.02,2.0,2.0,1,25,1.0,1,1.0,14.7
7.0,7.0,10890.04,2.0,1.0,0,15,3.0,1,1.0,14.0
7.0,6.0,5445.02,2.0,2.0,0,25,3.0,1,1.0,10.5
6.0,7.0,5445.02,2.0,2.0,1,25,1.0,1,1.0,23.9
3.0,4.0,1361.255,2.0,1.0,1,15,1.0,0,1.0,2.45
4.0,5.0,2722.51,2.0,2.0,1,25,1.0,1,1.0,5.1
3.0,3.0,1361.255,2.0,1.0,1,3,4.0,0,1.0,2.5
5.0,6.0,5445.02,2.0,2.0,1,25,1.0,1,1.0,7.05
5.0,6.0,5445.02,1.0,1.0,1,15,1.0,1,2.0,11.25
5.0,6.0,5445.02,2.0,1.0,0,15,4.0,1,1.0,8.5
5.0,6.0,10890.04,2.0,1.0,0,24,4.0,0,1.0,14.0
5.0,6.0,5445.02,3.0,2.0,1,25,1.0,1,1.0,12.5
6.0,7.0,10890.04,2.0,1.0,0,24,1.0,0,2.0,20.5
5.0,6.0,5445.02,2.0,1.0,1,25,1.0,1,1.0,9.0
5.0,6.0,5445.02,3.0,1.0,1,25,1.0,0,1.0,6.15
3.0,4.0,1361.255,1.0,1.0,1,25,1.0,0,1.0,2.8
3.0,4.0,1361.255,2.0,1.0,0,10,4.0,0,1.0,3.25
