bedrooms,baths,floors_in_building,area_sqft,servant_quarters,kitchens,store_rooms,drawing_room,furnishing_score,agePossession,luxury_category,floor_category,price
4.0,5.0,8.0,3100.8,2.0,2.0,2.0,1,49,1.0,3.0,1.0,5.0
3.0,3.0,8.0,2992.0,1.0,1.0,1.0,1,24,1.0,2.0,2.0,3.65
3.0,3.0,6.0,2720.0,1.0,1.0,1.0,1,39,3.0,2.0,2.0,3.55
3.0,4.0,8.0,2720.0,1.0,1.0,1.0,1,49,1.0,3.0,1.0,4.07
3.0,3.0,8.0,2720.0,1.0,1.0,1.0,1,7,2.0,1.0,2.0,2.8
3.0,3.0,8.0,2720.0,1.0,1.0,1.0,1,49,3.0,0.0,2.0,2.8
3.0,3.0,8.0,2720.0,1.0,1.0,1.0,1,49,3.0,0.0,2.0,3.8
3.0,4.0,8.0,2720.0,1.0,2.0,1.0,1,39,1.0,3.0,2.0,3.8
3.0,3.0,8.0,2720.0,1.0,1.0,1.0,1,49,3.0,0.0,2.0,2.8
4.0,5.0,7.0,3264.0,1.0,1.0,1.0,1,49,1.0,3.0,2.0,4.85
3.0,4.0,8.0,2720.0,0.0,1.0,0.0,1,9,4.0,1.0,2.0,2.8
4.0,4.0,8.0,3264.0,0.0,1.0,0.0,1,49,4.0,3.0,2.0,3.0
3.0,3.0,8.0,2720.0,1.0,1.0,1.0,1,18,1.0,2.0,1.0,2.9
3.0,3.0,8.0,2720.0,1.0,1.0,1.0,1,18,1.0,2.0,1.0,3.0
3.0,4.0,8.0,2720.0,0.0,1.0,0.0,1,21,4.0,2.0,2.0,2.7
3.0,3.0,8.0,2720.0,0.0,1.0,0.0,1,49,4.0,3.0,2.0,2.8
3.0,4.0,8.0,2720.0,0.0,1.0,0.0,1,43,4.0,0.0,2.0,3.05
3.0,4.0,8.0,2720.0,0.0,1.0,0.0,1,9,4.0,2.0,2.0,3.1
3.0,4.0,8.0,2720.0,0.0,1.0,0.0,1,49,4.0,3.0,2.0,3.05
4.0,4.0,8.0,3264.0,0.0,1.0,0.0,1,39,4.0,3.0,2.0,2.95
4.0,5.0,8.0,3264.0,0.0,1.0,0.0,1,18,4.0,2.0,2.0,3.0
3.0,4.0,8.0,2720.0,1.0,1.0,1.0,1,39,4.0,0.0,2.0,4.12
3.0,4.0,8.0,2720.0,1.0,1.0,1.0,1,39,4.0,3.0,1.0,3.65
4.0,5.0,7.0,3264.0,0.0,1.0,0.0,0,33,1.0,2.0,2.0,4.5
4.0,5.0,9.0,3264.0,1.0,1.0,1.0,1,49,1.0,3.0,2.0,4.5
3.0,3.0,9.0,2992.0,1.0,1.0,1.0,1,49,3.0,3.0,2.0,3.3
3.0,4.0,8.0,2720.0,1.0,1.0,1.0,1,49,3.0,0.0,2.0,3.3
4.0,4.0,9.0,3536.0,1.0,1.0,1.0,1,49,1.0,0.0,1.0,4.95
4.0,5.0,8.0,3264.0,1.0,1.0,1.0,1,49,1.0,3.0,2.0,4.55
3.0,4.0,8.0,2720.0,0.0,1.0,0.0,1,49,4.0,1.0,2.0,2.68
3.0,3.0,7.0,2720.0,1.0,1.0,1.0,1,30,4.0,0.0,1.0,2.8
3.0,3.0,8.0,2720.0,1.0,1.0,1.0,1,6,2.0,1.0,2.0,2.8
3.0,3.0,3.0,2720.0,1.0,1.0,1.0,1,49,2.0,2.0,1.0,2.25
4.0,5.0,8.0,3536.0,1.0,1.0,1.0,1,49,1.0,2.0,2.0,4.6
3.0,4.0,8.0,2720.0,0.0,1.0,0.0,1,49,4.0,0.0,2.0,2.8
4.0,5.0,9.0,2720.0,1.0,1.0,1.0,1,39,1.0,0.0,2.0,4.5
4.0,5.0,9.0,3264.0,1.0,1.0,1.0,1,49,1.0,2.0,1.0,4.7
4.0,5.0,9.0,3508.8,1.0,1.0,0.0,1,39,1.0,2.0,2.0,4.72
3.0,3.0,9.0,2720.0,1.0,1.0,1.0,1,39,3.0,0.0,2.0,3.2
3.0,3.0,8.0,2720.0,1.0,1.0,1.0,1,39,3.0,0.0,2.0,3.35
3.0,3.0,8.0,2720.0,1.0,1.0,1.0,1,39,1.0,2.0,2.0,3.7
4.0,5.0,9.0,3508.8,1.0,1.0,1.0,1,39,1.0,0.0,2.0,4.5
3.0,3.0,8.0,2720.0,1.0,1.0,1.0,1,39,1.0,0.0,2.0,3.8
3.0,3.0,8.0,2720.0,1.0,2.0,1.0,1,49,1.0,3.0,2.0,2.65
3.0,3.0,8.0,2720.0,1.0,2.0,1.0,1,49,1.0,3.0,2.0,2.65
3.0,3.0,8.0,2720.0,1.0,1.0,1.0,1,49,0.0,3.0,2.0,2.75
3.0,4.0,8.0,2720.0,0.0,1.0,0.0,1,30,4.0,2.0,2.0,3.0
4.0,5.0,8.0,3264.0,0.0,1.0,0.0,1,37,1.0,1.0,2.0,3.3
4.0,5.0,8.0,3808.0,1.0,1.0,1.0,1,49,1.0,0.0,2.0,4.3
4.0,5.0,8.0,3264.0,1.0,1.0,1.0,1,49,1.0,3.0,2.0,4.35
4.0,5.0,9.0,3536.0,1.0,1.0,1.0,1,39,1.0,2.0,2.0,4.5
4.0,4.0,8.0,3264.0,1.0,1.0,1.0,1,39,1.0,1.0,2.0,4.35
4.0,5.0,8.0,3536.0,1.0,1.0,1.0,1,49,3.0,2.0,2.0,5.5
4.0,5.0,8.0,3536.0,1.0,1.0,1.0,1,49,3.0,2.0,2.0,5.5
4.0,4.0,8.0,3264.0,1.0,1.0,0.0,0,49,1.0,0.0,1.0,4.6
4.0,5.0,8.0,3536.0,1.0,1.0,1.0,1,16,3.0,1.0,2.0,5.5
3.0,3.0,8.0,2720.0,1.0,1.0,1.0,1,28,4.0,1.0,2.0,2.85
3.0,3.0,8.0,2720.0,1.0,1.0,1.0,1,49,2.0,2.0,2.0,2.85
