society,bedrooms,baths,link,floors_in_building,price,area,area_sqft,servant_quarters,kitchens,store_rooms,price_per_sqft,drawing_room,dining_room,lounge_or_sitting_room,laundry_room,study_room,prayer_room,powder_room,gym,steam_room,other_rooms,luxury_score,furnishing_score,floor,agePossession,lat,lon
Askari Housing Society,4.0,5.0,https://www.zameen.com/Property/askari_10_askari_10_-_sector_s_this_is_a_brand_new_4t_bedroom_apartment_in_sector_s_askari_10-53900425-21434-1.html,10.0,4.65,12.2,3318.4,1.0,1.0,1.0,14012.77724204436,1,1,0,0,1,1,0,0,0,1,150.0,31,3.0,New Property,31.465334,74.3801628
Askari Housing Society,4.0,5.0,https://www.zameen.com/Property/askari_10_askari_10_-_sector_s_this_is_a_4_bedroom_brand_new_apartment_in_sec_s_askari_10-53934466-21434-1.html,10.0,4.7,12.2,3318.4,1.0,1.0,1.0,14163.452266152364,1,1,1,1,1,1,1,1,1,1,179.0,49,3.0,New Property,31.465334,74.3801628
Askari Housing Society,3.0,3.0,https://www.zameen.com/Property/askari_11_askari_11_-_sector_b_apartments_excellent_location_5th_floor_for_urgent_sale_your_dream_come_true-51870536-15703-1.html,7.0,2.9,10.0,2720.0,1.0,1.0,1.0,10661.764705882351,1,1,1,1,1,1,1,1,1,1,184.0,49,5.0,Relatively New,31.465334,74.3801628
Askari Housing Society,3.0,3.0,https://www.zameen.com/Property/askari_10_askari_10_-_sector_s_10_marla_brand_new_apartment_available_for_sale_in_askari_11_sector_s-53932450-21434-1.html,8.0,4.25,10.0,2720.0,0.0,1.0,0.0,15625.0,0,0,0,0,0,0,0,0,0,0,31.0,16,3.0,Undefined,31.465334,74.3801628
Askari Housing Society,4.0,3.0,https://www.zameen.com/Property/askari_11_askari_11_-_sector_b_ground_floor_3_bed_appartment_available_for_sale_in_askari_11_sector_b-53932174-15702-1.html,8.0,3.35,12.0,3264.0,1.0,1.0,1.0,10263.480392156862,1,1,1,1,1,1,1,1,1,1,171.0,49,3.0,New Property,31.465334,74.3801628
Askari Housing Society,3.0,4.0,https://www.zameen.com/Property/askari_11_askari_11_-_sector_d_facing_lak_3_bed_room_apartments_for_sale_in_askari_11_lahore-53894625-21437-1.html,8.0,4.1,10.0,2720.0,1.0,1.0,1.0,15073.529411764706,1,1,1,1,1,1,1,1,1,0,158.0,37,2.0,Undefined,31.465334,74.3801628
Askari Housing Society,3.0,4.0,https://www.zameen.com/Property/askari_11_askari_11_-_sector_d_10_marla_flat_for_sale_in_askari_11_-_sector_d-53896676-21437-1.html,1.0,4.25,10.0,2720.0,1.0,1.0,1.0,15625.0,1,1,0,1,0,0,1,0,0,0,168.0,39,1.0,New Property,31.465334,74.3801628
Askari Housing Society,4.0,5.0,https://www.zameen.com/Property/askari_10_askari_10_-_sector_s_4-bedroom_s_luxury_brand_new_apartment_for_sale_in_askari-10_lahore_cantt-53888723-21434-1.html,10.0,4.6,13.0,3536.0,1.0,1.0,1.0,13009.049773755656,1,1,1,1,0,0,1,0,1,0,94.0,18,1.0,New Property,31.465334,74.3801628
Askari Housing Society,3.0,3.0,https://www.zameen.com/Property/askari_11_askari_11_-_sector_b_apartments_best_investment_10_marla_3_bedroom_apartment_for_sale-53885999-15703-1.html,7.0,2.85,10.0,2720.0,1.0,1.0,1.0,10477.941176470587,1,1,1,1,1,1,1,1,1,0,184.0,39,3.0,Relatively New,31.465334,74.3801628
Askari Housing Society,3.0,4.0,https://www.zameen.com/Property/askari_11_askari_11_-_sector_b_apartments_10_marla_3_bed_room_like_a_brand_new_available_for_sale_in_sec_b-53952649-15703-1.html,8.0,3.6,10.0,2720.0,0.0,1.0,1.0,13235.29411764706,1,1,1,1,0,0,0,0,0,0,124.0,9,3.0,Undefined,31.465334,74.3801628
