,marla,area_sqft,floor_number,total_floors,bedrooms,bathrooms,kitchens,servant_quarters,store_rooms,society,luxury_score,drawing_room,dining_room,lounge_or_sitting_room,laundry_room,study_room,prayer_room,powder_room,gym,steam_room,other_rooms,price_per_sqft,price,agePossession
1113,2.0,544.5,,,1.0,1.0,1.0,1.0,1.0,Gulberg,137,1,1,1,1,1,1,1,1,1,1,53076.216712580346,2.89,Under construction
1114,2.1,571.725,,,2.0,3.0,1.0,1.0,1.0,Gulberg,133,1,1,1,1,1,1,1,1,1,1,50898.59635314181,2.91,Under construction
1115,2.0,544.5,,,1.0,1.0,1.0,2.0,1.0,Gulberg,98,1,1,1,1,1,1,1,1,1,1,52341.59779614325,2.85,Under construction
1116,2.0,544.5,,,6.0,6.0,2.0,2.0,2.0,Gulberg,121,1,1,1,1,1,1,1,1,1,1,54178.14508723599,2.95,Under construction
1120,4.3,1170.675,,3.0,6.0,6.0,2.0,2.0,2.0,Gulberg,117,0,0,1,1,1,0,1,1,1,0,35962.15858372307,4.21,New Property
1123,1.5,408.375,17.0,3.0,6.0,6.0,2.0,2.0,2.0,Gulberg,133,1,1,1,1,1,1,1,1,1,1,46280.99173553719,1.89,Under construction
1124,1.5,408.375,17.0,,1.0,1.0,1.0,,,Gulberg,128,1,1,1,1,1,1,1,1,1,1,46280.99173553719,1.89,Under construction
1125,1.8,490.05,7.0,3.0,6.0,6.0,2.0,2.0,2.0,Gulberg,133,1,1,1,1,1,1,1,1,1,1,61830.4254667891,3.03,Under construction
1126,1.5,408.375,17.0,3.0,8.0,9.0,1.0,1.0,,Gulberg,133,1,1,1,1,1,1,1,1,1,1,46280.99173553719,1.89,Under construction
1127,1.5,408.375,17.0,3.0,2.0,2.0,1.0,1.0,1.0,Gulberg,133,1,1,1,1,1,1,1,1,1,1,46280.99173553719,1.89,Under construction
1128,1.8,490.05,7.0,3.0,3.0,3.0,1.0,1.0,1.0,Gulberg,133,1,1,1,1,1,1,1,1,1,1,61830.4254667891,3.03,Under construction
1129,4.4,1197.9,1.0,1.0,2.0,2.0,1.0,1.0,1.0,Gulberg,106,1,1,0,0,1,1,0,0,0,0,37231.82235578929,4.46,Relatively New
1153,1.1,299.475,6.0,,,,,,,Gulberg,121,1,1,1,1,1,1,1,1,1,1,36730.94582185491,1.1,Undefined
1154,0.7,190.575,11.0,11.0,5.0,6.0,1.0,2.0,1.0,Gulberg,133,1,1,1,1,1,1,1,1,1,1,40928.76820149548,0.78,New Property
1161,2.0,544.5,24.0,33.0,6.0,7.0,2.0,2.0,2.0,Gulberg,129,1,1,1,1,1,1,1,1,1,1,37649.219467401286,2.05,Under construction
1174,2.0,544.5,15.0,33.0,,,,,,Gulberg,114,1,1,0,1,1,1,1,1,1,0,35812.67217630854,1.95,Undefined
1175,2.0,544.5,15.0,33.0,,,,1.0,,Gulberg,125,1,1,1,1,1,1,1,1,1,0,35812.67217630854,1.95,Undefined
1176,1.9,517.275,,,1.0,1.0,1.0,1.0,1.0,Gulberg,95,1,1,0,0,1,1,0,0,0,1,37504.22889178871,1.94,Under construction
1177,2.0,544.5,,,1.0,1.0,1.0,1.0,1.0,Gulberg,121,1,1,0,0,1,1,0,0,0,1,36730.94582185491,2.0,Under construction
1178,0.5,136.125,8.0,,1.0,1.0,1.0,1.0,1.0,Gulberg,140,1,1,1,1,1,1,1,1,1,1,46280.99173553719,0.63,Under construction
1185,1.8,490.05,,,1.0,1.0,1.0,1.0,1.0,Gulberg,133,1,1,1,1,1,1,1,1,1,1,54892.35792266095,2.69,Under construction
1187,0.6,163.35,,,1.0,1.0,1.0,1.0,1.0,Gulberg,126,1,1,1,1,1,1,1,1,1,1,53125.19130700949,0.8678,Under construction
1188,0.6,163.35,,,1.0,1.0,1.0,1.0,1.0,Gulberg,130,1,1,1,1,1,1,1,1,1,1,53125.19130700949,0.8678,Under construction
1190,2.3,626.175,,,5.0,6.0,2.0,2.0,1.0,Gulberg,121,1,1,1,1,1,1,1,1,1,1,39765.24134626902,2.49,Under construction
1191,1.3,353.925,,,2.0,1.0,1.0,1.0,1.0,Gulberg,126,1,1,1,1,1,1,1,1,1,1,61029.87921169739,2.16,Under construction
1192,0.7,190.575,15.0,19.0,2.0,2.0,1.0,1.0,1.0,Gulberg,125,1,1,1,1,1,1,1,1,1,1,41206.87393414666,0.7853,Under construction
1199,3.4,925.65,33.0,6.0,1.0,1.0,1.0,1.0,,Gulberg,127,1,1,1,1,1,1,1,1,1,1,41160.26575919624,3.81,New Property
1200,0.7,190.575,,,1.0,1.0,,1.0,,Gulberg,110,0,0,0,0,0,0,0,0,0,1,45126.59058113604,0.86,New Property
1201,2.2,598.95,,,1.0,1.0,1.0,1.0,1.0,Gulberg,140,1,1,1,1,1,1,1,1,1,1,40904.916937974784,2.45,New Property
1206,1.9,517.275,,,4.0,5.0,2.0,1.0,1.0,Gulberg,123,1,1,1,1,1,1,1,1,1,1,37504.22889178871,1.94,New Property
1212,0.4,108.9,,,2.0,2.0,1.0,,,Gulberg,127,1,1,1,1,1,1,1,1,1,1,55096.41873278237,0.6,Moderately Old
