bedrooms,baths,price,area_sqft,kitchens,store_rooms,drawing_room,dining_room,lounge_or_sitting_room,laundry_room,study_room,prayer_room,powder_room,gym,steam_room,other_rooms,luxury_score,furnishing_score,floors,agePossession,property_type,has_servant_room
3.0,4.0,2.9,2720.0,1.0,1.0,1,1,1,1,0,0,1,0,0,1,144.0,18,2.0,New Property,0,1
4.0,6.0,3.1,3264.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,179.0,49,3.0,Relatively New,0,1
4.0,6.0,3.35,3264.0,1.0,0.0,1,1,1,1,1,1,1,1,1,1,164.0,39,3.0,Relatively New,0,1
3.0,4.0,3.5,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,0,171.0,49,4.0,New Property,0,1
3.0,4.0,3.15,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,0,156.0,37,3.0,Undefined,0,1
3.0,4.0,3.17,2992.0,2.0,1.0,1,1,1,1,1,1,1,1,1,0,176.0,49,2.0,New Property,0,1
3.0,4.0,2.78,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,183.0,49,1.0,Moderately Old,0,1
3.0,4.0,2.8,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,0,170.0,39,2.0,Undefined,0,1
3.0,4.0,3.75,2720.0,1.0,1.0,1,1,1,0,1,1,1,1,1,0,171.0,39,5.0,Undefined,0,1
3.0,4.0,3.7,2720.0,1.0,0.0,1,1,1,1,1,1,1,1,1,0,140.0,39,3.0,Undefined,0,1
3.0,4.0,4.0,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,0,168.0,39,2.0,Undefined,0,1
4.0,5.0,4.6,3264.0,1.0,1.0,1,1,1,1,0,0,1,0,0,0,107.0,22,3.0,Undefined,0,1
4.0,5.0,4.75,3264.0,2.0,2.0,1,1,1,1,1,1,1,0,1,1,147.0,39,3.0,New Property,0,1
3.0,3.0,3.95,3264.0,2.0,0.0,1,1,0,0,0,0,1,0,0,0,69.0,16,3.0,Undefined,0,0
3.0,3.0,3.2,2720.0,1.0,1.0,1,1,0,1,0,0,1,0,0,0,168.0,39,1.0,New Property,0,1
3.0,3.0,3.83,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,184.0,49,1.0,Relatively New,0,1
3.0,3.0,3.15,2720.0,1.0,1.0,1,1,0,1,0,0,1,0,0,0,168.0,39,1.0,New Property,0,1
3.0,3.0,3.88,2720.0,1.0,1.0,1,1,0,1,0,0,1,0,0,0,168.0,39,1.0,Relatively New,0,1
4.0,5.0,4.25,3536.0,1.0,1.0,1,1,0,1,0,0,1,0,0,0,168.0,39,1.0,New Property,0,1
3.0,3.0,2.9,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,0,184.0,49,3.0,Relatively New,0,1
4.0,4.0,4.55,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,157.0,39,3.0,New Property,0,1
4.0,5.0,4.3,3264.0,1.0,1.0,1,1,1,1,1,1,1,0,1,0,154.0,47,8.0,New Property,0,1
3.0,4.0,3.65,2720.0,1.0,0.0,1,1,0,0,0,0,0,0,0,0,65.0,6,1.0,Undefined,0,0
3.0,3.0,2.75,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,184.0,49,1.0,Old Property,0,1
3.0,3.0,3.7,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,184.0,49,3.0,New Property,0,1
4.0,5.0,4.75,3536.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,179.0,49,4.0,New Property,0,1
3.0,4.0,2.45,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,0,184.0,39,3.0,Relatively New,0,1
4.0,5.0,4.45,3264.0,1.0,1.0,1,1,1,1,1,1,1,1,1,0,167.0,49,1.0,New Property,0,1
3.0,4.0,3.65,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,184.0,49,2.0,Relatively New,0,1
3.0,4.0,3.65,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,164.0,49,3.0,New Property,0,1
3.0,4.0,3.62,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,0,161.0,39,2.0,Undefined,0,1
3.0,4.0,3.85,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,171.0,39,2.0,Undefined,0,1
3.0,4.0,2.85,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,0,176.0,39,2.0,New Property,0,1
3.0,4.0,2.87,2720.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,17.0,0,3.0,Undefined,0,0
3.0,4.0,3.6,2992.0,1.0,1.0,1,1,1,1,1,1,1,1,1,0,179.0,49,8.0,New Property,0,1
3.0,3.0,3.1,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,0,184.0,49,1.0,Relatively New,0,1
3.0,4.0,3.4,2992.0,1.0,0.0,1,1,0,0,0,0,0,0,0,0,51.0,6,1.0,Undefined,0,0
3.0,3.0,4.25,2720.0,1.0,1.0,1,1,1,1,0,0,0,0,0,0,107.0,22,3.0,Undefined,0,1
4.0,5.0,4.65,3264.0,1.0,1.0,1,1,1,1,0,0,1,0,0,0,107.0,22,3.0,Undefined,0,1
4.0,5.0,5.45,3264.0,1.0,1.0,1,1,1,1,0,0,1,0,0,0,107.0,22,3.0,Undefined,0,1
4.0,5.0,4.8,3264.0,1.0,1.0,1,1,1,1,1,1,1,0,1,1,150.0,49,3.0,New Property,0,1
3.0,3.0,3.18,2720.0,1.0,1.0,1,1,1,1,1,1,1,0,1,0,176.0,39,1.0,New Property,0,1
3.0,3.0,3.85,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,184.0,49,1.0,Relatively New,0,1
3.0,3.0,3.8,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,0,184.0,49,1.0,Relatively New,0,1
4.0,5.0,4.3,3536.0,1.0,1.0,1,1,1,1,0,1,1,1,1,1,168.0,39,1.0,New Property,0,1
4.0,5.0,4.28,3536.0,1.0,1.0,1,1,0,1,0,0,1,0,0,0,168.0,39,1.0,New Property,0,1
